Protocol,Length,Src_IP,Dst_IP,Src_Port,Dst_Port,Timestamp,Anomaly
TCP,74,10.0.2.15,10.0.2.2,33960,8180,1629118909.08507,1
TCP,54,10.0.2.2,10.0.2.15,2260,45692,1629118909.08507,1
TCP,74,10.0.2.15,10.0.2.2,41974,9618,1629118909.086047,1
TCP,54,10.0.2.2,10.0.2.15,1233,46464,1629118909.088014,1
TCP,74,10.0.2.15,10.0.2.2,49832,3995,1629118909.088985,1
TCP,54,10.0.2.2,10.0.2.15,17988,41740,1629118909.088985,1
TCP,74,10.0.2.15,10.0.2.2,51654,1048,1629118909.090926,1
TCP,54,10.0.2.2,10.0.2.15,1027,35094,1629118909.091901,1
TCP,74,10.0.2.15,10.0.2.2,34046,987,1629118909.093853,1
TCP,54,10.0.2.2,10.0.2.15,7921,42898,1629118909.094831,1
TCP,74,10.0.2.15,10.0.2.2,48302,5959,1629118909.096783,1
TCP,54,10.0.2.2,10.0.2.15,1183,33410,1629118909.096783,1
TCP,74,10.0.2.15,10.0.2.2,41742,2106,1629118909.097758,1
TCP,74,10.0.2.15,10.0.2.2,49000,3827,1629118909.098734,1
TCP,54,10.0.2.2,10.0.2.15,52822,49884,1629118909.098734,1
TCP,74,10.0.2.15,10.0.2.2,49530,1061,1629118909.099708,1
TCP,54,10.0.2.2,10.0.2.15,7777,47664,1629118909.100685,1
TCP,74,10.0.2.15,10.0.2.2,35228,54328,1629118909.101662,1
TCP,74,10.0.2.15,10.0.2.2,58098,5678,1629118909.102638,1
TCP,74,10.0.2.15,10.0.2.2,41496,6000,1629118909.103612,1
TCP,54,10.0.2.2,10.0.2.15,5679,56118,1629118909.10459,1
TCP,74,10.0.2.15,10.0.2.2,50332,5061,1629118909.105565,1
TCP,54,10.0.2.2,10.0.2.15,1721,48074,1629118909.105565,1
TCP,74,10.0.2.15,10.0.2.2,55292,1074,1629118909.10654,1
TCP,54,10.0.2.2,10.0.2.15,18988,54746,1629118909.107516,1
TCP,74,10.0.2.15,10.0.2.2,33506,8701,1629118909.108493,1
TCP,74,10.0.2.15,10.0.2.2,60708,3580,1629118909.108493,1
TCP,54,10.0.2.2,10.0.2.15,1132,55878,1629118909.109469,1
TCP,74,10.0.2.15,10.0.2.2,56094,4567,1629118909.110445,1
TCP,54,10.0.2.2,10.0.2.15,1296,55454,1629118909.110445,1
TCP,74,10.0.2.15,10.0.2.2,47122,2869,1629118909.113375,1
TCP,54,10.0.2.2,10.0.2.15,2401,59972,1629118909.113375,1
TCP,74,10.0.2.15,10.0.2.2,36226,1067,1629118909.115325,1
TCP,54,10.0.2.2,10.0.2.15,1073,47486,1629118909.116303,1
TCP,74,10.0.2.15,10.0.2.2,51622,8099,1629118909.117279,1
TCP,74,10.0.2.15,10.0.2.2,48018,49165,1629118909.117279,1
TCP,74,10.0.2.15,10.0.2.2,38992,10082,1629118909.118254,1
TCP,74,10.0.2.2,10.0.2.15,8180,33960,1629118909.119229,1
TCP,74,10.0.2.15,10.0.2.2,35710,4000,1629118909.121182,1
TCP,54,10.0.2.2,10.0.2.15,9618,41974,1629118909.121182,1
TCP,74,10.0.2.15,10.0.2.2,54724,1175,1629118909.123135,1
TCP,74,10.0.2.15,10.0.2.2,46256,27352,1629118909.124109,1
TCP,74,10.0.2.15,10.0.2.2,40560,1091,1629118909.125085,1
TCP,74,10.0.2.15,10.0.2.2,50298,7800,1629118909.126061,1
TCP,54,10.0.2.2,10.0.2.15,3995,49832,1629118909.126061,1
TCP,74,10.0.2.15,10.0.2.2,58992,3011,1629118909.127042,1
TCP,54,10.0.2.2,10.0.2.15,1048,51654,1629118909.128013,1
TCP,74,10.0.2.15,10.0.2.2,51850,2003,1629118909.12899,1
TCP,54,10.0.2.2,10.0.2.15,987,34046,1629118909.129964,1
TCP,74,10.0.2.15,10.0.2.2,60824,1028,1629118909.13094,1
TCP,54,10.0.2.2,10.0.2.15,5959,48302,1629118909.131917,1
TCP,74,10.0.2.15,10.0.2.2,57646,1047,1629118909.132895,1
TCP,54,10.0.2.2,10.0.2.15,2106,41742,1629118909.132895,1
TCP,74,10.0.2.15,10.0.2.2,53050,6788,1629118909.133869,1
TCP,54,10.0.2.2,10.0.2.15,3827,49000,1629118909.134845,1
TCP,74,10.0.2.15,10.0.2.2,49804,787,1629118909.13582,1
TCP,54,10.0.2.2,10.0.2.15,1061,49530,1629118909.136796,1
TCP,74,10.0.2.15,10.0.2.2,40012,6001,1629118909.137773,1
TCP,54,10.0.2.2,10.0.2.15,54328,35228,1629118909.138749,1
TCP,74,10.0.2.15,10.0.2.2,58522,6565,1629118909.139727,1
TCP,54,10.0.2.2,10.0.2.15,5678,58098,1629118909.1407,1
TCP,74,10.0.2.15,10.0.2.2,37496,1044,1629118909.141676,1
TCP,74,10.0.2.2,10.0.2.15,6000,41496,1629118909.142653,1
TCP,74,10.0.2.15,10.0.2.2,57500,783,1629118909.143628,1
TCP,54,10.0.2.2,10.0.2.15,5061,50332,1629118909.144604,1
TCP,74,10.0.2.15,10.0.2.2,35802,6646,1629118909.14558,1
TCP,54,10.0.2.2,10.0.2.15,1074,55292,1629118909.14558,1
TCP,74,10.0.2.15,10.0.2.2,39852,1093,1629118909.146557,1
TCP,54,10.0.2.2,10.0.2.15,8701,33506,1629118909.146557,1
TCP,74,10.0.2.15,10.0.2.2,45142,9050,1629118909.146557,1
TCP,54,10.0.2.2,10.0.2.15,3580,60708,1629118909.147533,1
TCP,74,10.0.2.15,10.0.2.2,47324,44443,1629118909.148508,1
TCP,54,10.0.2.2,10.0.2.15,4567,56094,1629118909.148508,1
TCP,74,10.0.2.15,10.0.2.2,49050,514,1629118909.150461,1
TCP,54,10.0.2.2,10.0.2.15,2869,47122,1629118909.150461,1
TCP,74,10.0.2.15,10.0.2.2,42822,32779,1629118909.151437,1
TCP,54,10.0.2.2,10.0.2.15,1067,36226,1629118909.152412,1
TCP,74,10.0.2.15,10.0.2.2,53024,7937,1629118909.153388,1
TCP,54,10.0.2.2,10.0.2.15,8099,51622,1629118909.154365,1
TCP,74,10.0.2.15,10.0.2.2,49564,1192,1629118909.155342,1
TCP,54,10.0.2.2,10.0.2.15,49165,48018,1629118909.155342,1
TCP,74,10.0.2.15,10.0.2.2,54980,1148,1629118909.156317,1
TCP,54,10.0.2.2,10.0.2.15,10082,38992,1629118909.157292,1
TCP,74,10.0.2.15,10.0.2.2,53440,8087,1629118909.158268,1
TCP,54,10.0.2.2,10.0.2.15,4000,35710,1629118909.158268,1
TCP,74,10.0.2.15,10.0.2.2,60726,2500,1629118909.159244,1
TCP,54,10.0.2.2,10.0.2.15,1175,54724,1629118909.16022,1
TCP,74,10.0.2.15,10.0.2.2,42478,9110,1629118909.161196,1
TCP,54,10.0.2.2,10.0.2.15,27352,46256,1629118909.162172,1
TCP,74,10.0.2.15,10.0.2.2,53536,687,1629118909.163149,1
TCP,54,10.0.2.2,10.0.2.15,1091,40560,1629118909.163149,1
TCP,74,10.0.2.15,10.0.2.2,60720,1658,1629118909.164125,1
TCP,54,10.0.2.2,10.0.2.15,7800,50298,1629118909.1651,1
TCP,74,10.0.2.15,10.0.2.2,42084,9503,1629118909.166076,1
TCP,54,10.0.2.2,10.0.2.15,3011,58992,1629118909.166076,1
TCP,74,10.0.2.15,10.0.2.2,34724,2030,1629118909.167052,1
TCP,54,10.0.2.2,10.0.2.15,2003,51850,1629118909.168043,1
TCP,74,10.0.2.15,10.0.2.2,43418,1001,1629118909.169004,1
TCP,54,10.0.2.2,10.0.2.15,1028,60824,1629118909.16998,1
TCP,74,10.0.2.15,10.0.2.2,39462,3221,1629118909.16998,1
TCP,54,10.0.2.2,10.0.2.15,1047,57646,1629118909.170956,1
TCP,74,10.0.2.15,10.0.2.2,47892,20031,1629118909.170956,1
TCP,54,10.0.2.2,10.0.2.15,6788,53050,1629118909.172392,1
TCP,74,10.0.2.15,10.0.2.2,49772,1114,1629118909.173372,1
TCP,54,10.0.2.2,10.0.2.15,787,49804,1629118909.174349,1
TCP,74,10.0.2.15,10.0.2.2,37416,667,1629118909.174349,1
TCP,54,10.0.2.2,10.0.2.15,6001,40012,1629118909.175323,1
